V1,travel,sleep,work_act,household_combine,Leisure_Combine,Others,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
876,113,570,435,161,131,30,43,15.6527906977,2003,41,1,-1,41,1,2
880,25,520,440,160,295,0,40,25,2003,43,2,-1,53,1,1
883,45,495,450,63,347,40,40,16.08125,2003,40,1,-1,48,3,0
885,55,400,465,160,310,50,40,24.519,2003,40,2,-1,47,1,2
886,10,909,180,128,198,15,45,21.3673333333,2003,41,1,-1,30,1,2
887,68,485,435,262,190,0,45,21.3673333333,2003,45,1,-1,42,1,2
894,155,390,520,65,90,220,47,24.549787234,2003,43,1,-1,39,1,1
898,76,330,466,243,270,55,55,29.9090909091,2003,40,1,-1,48,1,2
905,165,570,5,0,398,302,50,12.3076,2003,43,2,-1,25,3,0
906,225,360,330,10,515,0,42,14.2857142857,2003,39,1,-1,46,3,0
907,106,450,613,0,271,0,40,14.423,2003,39,1,-1,39,3,0
911,40,360,420,0,518,102,40,18.75,2003,40,1,-1,33,3,0
913,130,480,460,5,210,155,35,6.59314285714,2003,39,2,-1,58,1,0
919,60,480,465,0,385,50,50,35.28,2003,39,1,-1,25,1,2
922,50,445,665,175,105,0,44,39.3354545455,2003,44,2,-1,44,3,2
925,30,420,575,35,300,80,50,17,2003,39,1,-1,45,1,2
927,244,610,10,0,526,50,80,12.019125,2003,42,1,-1,29,1,2
930,30,430,490,115,240,135,40,13.45,2003,39,2,-1,32,1,2
931,120,400,483,21,206,210,40,10.96,2003,39,2,-1,59,1,0
936,45,420,540,5,285,145,40,28.825,2003,40,2,-1,54,3,0
944,50,570,470,180,120,50,40,12.3075,2003,40,2,-1,28,3,2
945,80,140,240,0,920,60,70,5.71428571429,2003,39,1,-1,31,2,2
947,77,498,493,162,195,15,40,10,2003,39,2,-1,44,1,1
963,213,412,485,70,125,135,45,17.7777777778,2003,40,1,-1,33,1,0
965,0,370,930,0,110,30,100,2,2003,39,1,-1,38,1,4
966,150,455,458,91,231,55,48,14.5833333333,2003,40,1,-1,49,1,2
969,43,490,450,300,147,10,40,12.5,2003,39,2,-1,31,3,1
976,15,390,680,60,250,45,61,11.0339344262,2003,43,1,-1,43,1,3
977,12,540,459,134,233,62,40,10.75,2003,39,1,-1,32,3,1
979,30,90,450,130,700,40,40,7.875,2003,39,1,-1,30,3,0
982,55,420,480,55,385,45,40,19.23075,2003,41,1,-1,27,1,0
992,205,445,4,400,354,32,62,24.8138709677,2003,40,1,-1,39,1,2
993,70,290,345,175,520,40,44,10.2272727273,2003,39,1,-1,25,3,0
996,88,450,531,59,286,26,49,23.9402040816,2003,43,2,-1,43,3,2
1006,110,375,300,320,305,30,60,48.0768333333,2003,45,1,-1,42,1,2
1007,55,480,425,160,245,75,45,59.2591111111,2003,43,2,-1,30,1,1
1008,90,345,585,150,210,60,45,12.8204444444,2003,43,2,-1,41,3,2
1010,60,300,540,90,390,60,40,6.5625,2003,37,1,-1,48,2,0
1011,10,810,120,0,500,0,50,7.2,2003,40,1,-1,51,1,0
1014,60,420,465,0,435,60,40,13.0275,2003,39,1,-1,41,1,1
1016,30,750,15,60,585,0,65,12.3076923077,2003,40,1,-1,31,3,0
1017,15,510,450,0,465,0,45,14.1024444444,2003,40,1,-1,28,1,0
1027,85,480,575,0,215,85,40,17.125,2003,43,1,-1,33,3,0
1035,30,390,617,122,138,143,40,5,2003,35,2,-1,25,3,0
1041,70,630,500,0,200,40,35,8.57142857143,2003,39,2,-1,37,3,1
1044,75,450,435,145,230,105,40,16.82675,2003,43,1,-1,34,1,2
1046,150,330,545,205,195,15,40,6.923,2003,40,2,-1,24,3,1
1054,45,503,257,90,130,415,43,10,2003,40,2,-1,33,3,1
1055,120,420,688,13,143,56,60,12,2003,39,1,-1,36,1,2
1061,34,540,60,240,505,61,45,64.1024444444,2003,40,1,-1,45,1,3
1071,285,335,638,152,0,30,55,19.5803636364,2003,39,2,-1,44,3,2
1079,195,450,15,240,510,30,40,38.4615,2003,44,1,-1,51,1,1
1082,72,378,794,35,40,121,50,16.923,2003,40,2,-1,54,3,0
1084,66,420,522,95,289,48,40,16.7,2003,42,2,-1,31,3,1
1095,51,450,541,15,275,108,45,38.4613333333,2003,44,1,-1,49,1,1
1097,5,760,300,125,250,0,40,9.35,2003,40,2,-1,34,1,0
1101,40,655,5,450,260,30,50,48.0768,2003,43,1,-1,37,3,0
1102,70,450,535,190,140,55,45,25.3,2003,43,1,-1,49,1,2
1117,60,415,755,15,120,75,40,14,2003,40,1,-1,55,3,0
1119,105,600,15,135,360,225,40,22.5,2003,44,2,-1,35,1,2
1122,60,390,765,50,85,90,40,25,2003,43,2,-1,50,1,0
1123,70,540,475,90,265,0,48,9.16666666667,2003,39,1,-1,47,1,1
1124,155,450,10,300,390,135,40,16.42,2003,43,2,-1,30,3,1
1137,20,515,620,30,240,15,40,24.03825,2003,46,1,-1,36,1,1
1139,90,529,61,325,420,15,70,12.8571428571,2003,39,1,-1,43,1,1
1140,165,418,505,142,180,30,50,19.2306,2003,46,1,-1,42,1,2
1141,22,418,630,215,120,35,50,30,2003,43,2,-1,35,1,2
1142,30,365,600,65,245,135,55,26.2236363636,2003,43,1,-1,23,3,0
1143,90,600,60,0,470,220,40,36.0575,2003,43,1,-1,31,1,0
1145,45,525,490,60,290,30,40,16.75,2003,39,1,-1,36,1,2
1150,30,480,495,225,165,45,40,12,2003,42,2,-1,43,1,2
1153,35,550,790,5,30,30,48,23.75,2003,41,2,-1,63,3,0
